seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,refusal
1341,default,6.4034106,3.4121026,0.048483961,6,0.24199936,0.72737334,22,
1342,default,7.0676402,3.4712971,0.042893413,9,0.17119973,0.70454382,40,
1343,default,7.1829211,2.9654688,0.047483033,8,0.32582494,0.63669352,33,
1344,default,6.5565982,3.453111,0.050070797,8,0.26537911,0.7034583,31,
1345,default,7.4191603,3.1125349,0.044797617,10,0.16396452,0.72681435,39,
1346,default,6.2615335,3.1882703,0.047483033,7,0.38034605,0.74607951,31,
1347,default,6.7061103,3.0701552,0.045847371,10,0.22585481,0.78261999,37,
1348,default,5.8699948,3.658337,0.037766711,9,0.28926,0.55456277,23,
1349,default,6.3102561,2.8751952,0.042283092,8,0.25770062,0.79996275,29,
1350,default,6.658644,3.6552771,0.03410478,9,0.24149818,0.70717193,27,
1351,default,7.7512977,2.90252,0.057541136,9,0.20091611,0.5881848,34,
1352,default,6.0327147,3.8671658,0.043552561,10,0.25582871,0.72977742,24,
1353,default,6.2456035,3.2187147,0.051633221,6,0.64038471,0.76699726,29,
1354,default,5.9208252,3.0319385,0.042551633,4,0.60776847,0.73986305,28,
1355,default,6.6225611,3.18054,0.037302866,9,0.18015064,0.62236219,29,
1356,default,7.470293,2.9837344,0.054660417,5,0.56390002,0.45081019,38,
1357,default,5.035755,3.8903239,0.037888775,5,0.3204789,0.65658144,12,
1358,default,7.4656204,3.1310308,0.049875494,11,0.19917938,0.77178321,36,
1359,default,7.574808,3.1064116,0.053464186,10,0.21119562,0.7081546,46,
1360,default,7.4091627,3.1571807,0.049362824,12,0.21247734,0.59873009,35,
1361,default,5.8219028,3.576228,0.039060593,8,0.28419621,0.6853181,26,
1362,default,7.9289865,3.0641348,0.062472536,6,0.61850709,0.76320952,36,
1363,default,7.5548793,2.9793056,0.064620868,5,0.41228833,0.69639769,30,
1364,default,6.3843331,3.51008,0.049973146,6,0.61506762,0.70347126,25,
1365,default,6.6183599,3.6293895,0.041965724,7,0.67673049,0.75087229,27,
1366,default,5.950181,3.5663184,0.03835262,7,0.33046712,0.75406169,22,
1367,default,8.0615592,3.1018235,0.062130755,7,0.47714141,0.70583436,45,
1368,default,6.4554769,3.6698509,0.036277526,9,0.33457434,0.73063402,19,
1369,default,7.1402167,3.3258342,0.045749719,10,0.20818428,0.72824949,48,
1370,default,7.5966958,3.0735332,0.059005908,7,0.3286642,0.56456055,37,
1371,default,7.2723519,3.1214316,0.056149602,9,0.28612457,0.66253275,35,
1372,default,6.5155124,3.5827326,0.041599531,8,0.31662695,0.66688333,28,
1373,default,6.7215453,3.7398735,0.045310288,8,0.29777741,0.75972135,32,
1374,default,6.01078,3.781616,0.034544212,8,0.2457093,0.75606997,32,
1375,default,6.3384378,3.5623122,0.038914116,7,0.22694975,0.76904583,24,
1376,default,7.3780688,3.5070366,0.049460476,11,0.26034206,0.7883658,30,
1377,default,6.4379644,2.9032973,0.057370246,6,0.36310992,0.54192666,39,
1378,default,6.7887127,3.2922819,0.048483961,7,0.29817073,0.58511436,36,
1379,default,6.0884151,3.0421838,0.035032469,9,0.25148188,0.71790405,24,
1380,default,5.9017577,3.7298784,0.032762072,9,0.21937639,0.67465686,19,
1381,default,7.8047995,3.0512413,0.05944534,8,0.6837617,0.73817196,35,
1382,default,6.8145514,3.2878702,0.039792979,9,0.28792236,0.76047007,28,
1383,default,6.0765947,3.6957158,0.037034324,9,0.213676,0.70813656,28,
1384,default,6.5746104,3.2665589,0.049265173,7,0.3444876,0.78400306,27,
1385,default,8.4414091,2.6366745,0.075704311,11,0.50862499,0.64392242,80,
1386,default,6.0857305,3.6394847,0.038840877,9,0.32068865,0.75918427,21,
1387,default,6.9157447,3.4443561,0.04430936,7,0.29013015,0.65666436,23,
1388,default,6.5371018,3.1443091,0.054367463,6,0.55808921,0.6791598,21,
1389,default,6.7615247,3.4199754,0.046848298,9,0.2509202,0.72203506,28,
1390,default,6.5145815,3.1010878,0.047068014,9,0.40796415,0.75604937,33,
1391,default,6.0525639,3.4797024,0.054074508,6,0.38072103,0.39363312,17,
1392,default,7.9576253,3.1605703,0.05800498,9,0.39845495,0.77921315,24,
1393,default,7.2534293,3.0241018,0.069454616,7,0.55140397,0.68070678,26,
1394,default,5.8769223,3.8406484,0.036546067,8,0.34051022,0.58099081,11,
1395,default,6.8026616,3.1125974,0.047141253,7,0.75091115,0.6729896,28,
1396,default,6.6141634,3.1969488,0.034983643,9,0.24417055,0.63210592,27,
1397,default,7.1788337,3.1908889,0.049802256,7,0.30629931,0.72475483,36,
1398,default,6.4897599,3.6024436,0.039524437,9,0.33768722,0.71221643,35,
1399,default,5.3884338,4.0726341,0.032420292,8,0.20351783,0.67539671,11,
1400,default,6.9756446,2.9036181,0.056784337,9,0.35266847,0.82138417,32,
1401,default,5.8273377,3.9757215,0.03989063,9,0.23611459,0.64653825,20,
1402,default,7.1348702,3.4774423,0.047238904,7,0.3296534,0.71319217,31,
1403,default,6.1020695,3.8894596,0.039085006,9,0.24173667,0.48462803,26,
1404,default,7.8394931,2.9131484,0.05697964,6,0.40586174,0.68887987,38,
1405,default,6.0104687,3.3980637,0.031321713,7,0.30240016,0.70831878,24,
1406,default,7.5946401,2.5530008,0.074019823,6,0.42795541,0.62602272,42,
1407,default,7.5075798,2.913529,0.064132611,5,0.4463431,0.76751623,33,
1408,default,6.7852698,3.3528376,0.046970363,7,0.42456491,0.74569203,26,
