seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,refusal
2442,default,10.437471558289067,1.428504173235423,0.6281919828133392,39,0.8251638411959054,0.800036397370512,
2443,default,13.067617610505431,1.1364604596539338,0.6823397295053952,45,0.8567770756156026,0.8365298443403879,
2444,default,11.80545523789134,1.8793061805406306,0.1777501098579171,51,0.9336992453065552,0.5889529883231361,
2445,default,10.77149424873063,2.027985505751906,0.10077632928079684,80,0.8657463330457291,0.6939903024566858,
2446,default,13.547043399900547,1.4483281343180021,0.6170353010106928,91,0.8236750866765725,0.8375592012108786,
2447,default,9.508924255058439,2.2938082937125346,0.08551828523997852,53,0.507749491549197,0.3740723109223183,
2448,default,11.476806347395742,1.9154707118764613,0.225257555783409,79,0.5328494094488189,0.7262071322621975,
2449,default,7.910656165899268,2.4837698361828138,0.06342463746887358,69,0.41880280164632827,0.6412195782343726,
2450,default,11.451778738443876,1.413663280333517,0.7019920902299692,38,0.530076313033069,0.8122827809366553,
2451,default,11.220440084726283,1.8884985544493014,0.22801621014598897,76,0.64693659089478,0.8373858698305747,
2452,default,11.032013969566068,1.8751534993695806,0.1756750158683658,66,0.9448547215496368,0.7549695449440945,
2453,default,8.388771968003145,1.3904587078802306,0.6926419608417558,24,0.4563396015639546,0.8200934199176473,
2454,default,12.279669234273571,1.9306720110730455,0.1357843855280504,69,0.49599045662403074,0.8365364703030058,
2455,default,10.228665307146047,1.639854577324117,0.6246765294663347,39,0.8752263467632413,0.7839186319027391,
2456,default,10.611692042418099,1.954072120156463,0.13471021922757678,43,0.7743878890862748,0.8439709204166121,
2457,default,11.365125083001455,1.6676013789454265,0.5305893266930326,55,0.8565322065543163,0.8210758530078877,
2458,default,9.079184131311573,2.612219325798043,0.05390361798740296,101,0.3653458697112156,0.7376715004150187,
2459,default,11.963679076640503,1.7253111582536733,0.24564230262194228,76,0.45873771011734854,0.72306820956008,
2460,default,12.20252327862664,1.776614767097311,0.17411259215858602,77,0.523725834797891,0.8017842756701332,
2461,default,9.697458400107687,2.0326256554807367,0.09589375518773498,52,0.5735540806651593,0.8102414704143135,
2462,default,8.20629719256724,3.1440318644750413,0.03715638884820077,37,0.6003107399495048,0.7439059372100971,
2463,default,10.8666460135434,2.0809913309056767,0.13300131829500514,69,0.5193413862525166,0.7534772590174057,
2464,default,14.624437456079477,1.4917454149429052,0.4281285093501294,64,0.8868600071607591,0.7079594721311435,
2465,default,11.272191072539824,1.347186283285438,0.6737219862311411,49,0.8761204178772332,0.7590164868251874,
2466,default,8.505035623646663,1.2628529146959973,0.6917386846345394,21,0.9104445403539059,0.8477450645313542,
2467,default,11.438036253997698,1.7444093186068843,0.2782090718226649,74,0.8085411292633993,0.7905484215722973,
2468,default,9.977404712742349,1.242995472012222,0.6912992529661638,23,0.9219930447295839,0.8399003954885016,
2469,default,12.216390300949055,1.5329209302118898,0.6559494165323959,64,0.9248465266558966,0.8514687287965801,
2470,default,11.800463372353128,1.31422038165398,0.7409794443630682,35,0.9188228486401587,0.49243689272984703,
2471,default,11.830777792460621,1.173262419429236,0.6856598798886773,40,0.8456731679606135,0.8278018908410618,
2472,default,13.362334441193381,1.3848376847214114,0.7152971046335628,63,0.7197704494018752,0.8271713439918118,
2473,default,11.01417891419567,1.462652016632422,0.6078072359748059,26,0.9780440299828838,0.7382072272946743,
2474,default,11.62508537517977,1.2802820847347063,0.6630047360968703,43,0.8529723000311236,0.8628273359048222,
2475,default,13.04974972532994,1.7488775948920552,0.13781065377667107,74,0.655827739517043,0.7896964370525232,
2476,default,7.336871186568751,0.9780358803854845,0.7264049606952786,18,0.9582652606564681,0.8356126076940491,
2477,default,13.349190941790882,1.6654968261163703,0.22381719642595577,91,0.35321927059882935,0.7467014456175141,
2478,default,12.527881367188568,1.1314566637412158,0.6748938040134759,40,0.6934209767629591,0.7944588887261363,
