seed,pin_set,granary-raid-phase-concentration,granary-raids-in-depleted-half,refusal
545,default,0.92840607,0.35449735,
546,default,0.97698386,0.08,
547,default,0.92234812,0.96254072,
548,default,0.91267782,0.75,
549,default,0.98141424,0.36334405,
550,default,0.88016991,0.7253886,
551,default,0.96536581,0.32830189,
552,default,0.92178391,0.92708333,
553,default,0.8263971,0.4875,
554,default,1,0.14285714,
555,default,0.80283007,0.74166667,
556,default,0.84846417,0.61777778,
557,default,0.97342335,0.40186916,
558,default,0.94110665,0.54935622,
559,default,0.98121295,0.55555556,
560,default,0.91759861,0.33971292,
561,default,0.962617,0.070110701,
562,default,0.90645861,0.45833333,
563,default,0.8367734,0.64705882,
564,default,0.8971556,0.67483296,
565,default,0.7815348,1,
566,default,0.94648278,0.27701375,
567,default,0.90826056,0.43288591,
568,default,,,
569,default,0.95908315,0.3510467,
570,default,0.84217497,0.6031746,
571,default,0.96936136,0.88461538,
572,default,0.98078295,0.91428571,
573,default,0.97563707,0.36363636,
574,default,0.92124571,0.2875817,
575,default,0.87166804,0.15625,
576,default,0.81914232,0.64285714,
577,default,0.87804954,0.71090047,
578,default,0.97732585,0.25454545,
579,default,0.93548803,0.47301587,
580,default,0.89082805,0.45794393,
581,default,0.93876292,0.49404762,
582,default,0.87201758,0.27169811,
583,default,0.91134102,0.40940367,
584,default,0.86656328,0.62285714,
585,default,0.93022288,0.17355372,
586,default,0.94505805,0.70503597,
587,default,0.96682721,0.1880597,
588,default,0.93196955,0.90684932,
589,default,0.92948206,0.77777778,
590,default,0.92915335,0.725,
591,default,0.90036031,0.44761905,
592,default,0.97539786,0.28571429,
593,default,0.9214124,0.24528302,
594,default,0.84792087,0.47727273,
595,default,0.96968714,0.3862069,
596,default,0.963047,0.11210762,
597,default,0.95030553,0.12554113,
598,default,0.9221746,0.45031712,
599,default,0.97637044,0.5257732,
600,default,0.91327397,0.12777778,
601,default,0.86774644,0.67156863,
602,default,0.91928619,0.87557604,
603,default,0.88755946,0.63565891,
604,default,0.93704845,0.14285714,
605,default,0.92563254,0.59259259,
606,default,0.88434676,0.91220557,
607,default,0.96686498,0.32065217,
608,default,0.93807219,0.68490566,
609,default,0.8699321,0.51898734,
610,default,0.8865829,0.93,
611,default,1,0.083333333,
612,default,0.8899063,0.5787037,
613,default,0.89560497,0.87096774,
614,default,0.87914197,0.56,
615,default,0.76635933,0.78735632,
616,default,0.94211306,0.14880952,
617,default,0.83823591,0.92307692,
618,default,0.92851399,0.66492147,
619,default,,,
620,default,0.94963357,0.2196162,
621,default,0.94025074,0.4822335,
622,default,0.93060126,0.06,
623,default,0.92040154,0.32352941,
624,default,0.96862872,0.032178218,
625,default,0.87213855,0.5331565,
626,default,0.80622284,0.6,
627,default,0.93273839,0.51245552,
628,default,0.86318508,0.77,
629,default,0.79019918,0.64155251,
630,default,0.94481663,0.69090909,
631,default,0.84282877,0.56666667,
632,default,1,0.14285714,
633,default,0.94778214,0.15846995,
634,default,0.8579188,0.59655172,
635,default,0.87646171,0.57264957,
636,default,0.95318767,0.39759036,
637,default,0.84236544,0.76315789,
638,default,0.96166754,0.25822785,
639,default,0.88921093,0.71686747,
640,default,0.92395241,0.56723716,
641,default,0.90903686,0.6875,
642,default,0.91885073,0.31464174,
643,default,0.78311351,0.81666667,
644,default,0.94102007,0.32020997,
645,default,0.88006212,0.1754386,
646,default,0.94861994,0.82608696,
647,default,0.86569419,0.7625,
648,default,0.94138147,0.4233871,
649,default,0.92667094,0.44444444,
650,default,0.82220841,0.84083045,
651,default,0.89150608,0.062146893,
652,default,,,
653,default,0.92890822,0.72727273,
654,default,0.88018063,0.76262626,
655,default,0.90693989,0.07826087,
656,default,0.81126604,0.74615385,
657,default,0.89019521,0.71186441,
658,default,0.96426091,0.0816,
659,default,0.84790463,0.932,
660,default,0.93295785,0.47058824,
661,default,,,
662,default,0.9263254,0.596,
663,default,0.90111004,0.46959459,
664,default,0.93368877,0.49275362,
665,default,0.88486675,0.4747191,
666,default,0.90451154,0.79268293,
667,default,0.88330343,0.44036697,
668,default,0.98930417,0.43478261,
669,default,0.87020026,0.52,
670,default,0.91820719,0.75,
671,default,0.8771761,0.85340909,
672,default,0.8953268,0.46640316,
673,default,0.85444592,0.88,
674,default,0.9436462,0.22510823,
675,default,0.92493496,0.27234043,
676,default,0.95968297,0.85714286,
677,default,0.9472252,0.30208333,
678,default,0.9083626,0.27906977,
679,default,0.93163276,0.36627907,
680,default,0.99605477,0.87878788,
681,default,0.99043979,0.076923077,
682,default,0.95701867,0.10169492,
683,default,0.94920251,0.28200972,
684,default,0.96439166,0.28080229,
685,default,0.94894886,0.014492754,
686,default,0.94951745,0.12820513,
687,default,0.89498317,0.14697406,
688,default,0.89167673,0.65873016,
689,default,0.99162741,0.93333333,
690,default,0.94231473,0.78787879,
691,default,0.94193839,0.38983051,
692,default,,,
693,default,0.94883154,0.42105263,
694,default,0.88697258,0.80368098,
695,default,0.9239119,0.68292683,
696,default,,,
697,default,0.90692302,0.12571429,
698,default,0.87936025,0.42941176,
699,default,0.95329154,0.1171875,
700,default,0.832193,0.43478261,
701,default,0.94914841,0.27118644,
702,default,0.77052792,0.50769231,
703,default,0.88335672,0.70955882,
704,default,0.96829542,0.3431085,
705,default,0.96065741,0.296875,
706,default,0.88989813,0.34192037,
707,default,0.99708423,0.022222222,
708,default,0.92957598,0.20454545,
709,default,0.93201429,0.43032787,
710,default,0.98263236,0.60714286,
711,default,0.72547855,0.84309133,
712,default,0.93618565,0.51546392,
713,default,0.8635757,0.71449925,
714,default,0.79062551,0.79622642,
715,default,,,
716,default,0.89797285,0.47926267,
717,default,0.82278275,0.62318841,
718,default,0.89564426,0.69076305,
719,default,0.99329628,0.10526316,
720,default,0.91676176,0.70491803,
721,default,0.86184425,0.70992366,
722,default,0.95713806,0.081081081,
723,default,0.88967978,0.55451128,
724,default,0.86989274,0.75261324,
725,default,0.90665372,0.538,
726,default,0.91687,0.47849462,
727,default,0.89374894,0.71982759,
